,研发费用变动率,预收款变动率,资产负债率,资产利润率配比,营业成本变动率,营业成本变动率与营业利润变动率配比,营业费用变动率,营业利润变动率,营业利润税收负担率,营业收入变动率,营业收入变动率与营业成本变动率配比,营业收入变动率与营业费用变动率配比,营业收入变动率与营业利润变动率配比,成本费用利润率,财务费用变动率,所得税负担变动率,所得税负担率,所得税贡献变动率,所得税贡献率,工业增加值税负差异率,存货变动率配比,存货周转率,管理费用变动率,营业外支出变动率,营业外收入变动率,销售费用变动率,其他应付款变动率,其他应收款变动率,应付账款变动率,应收账款变动率,净资产收益率,销售利润率配比,应纳税额与工业增加值弹性系数,应纳税所得额变动率,总资产周转率,总资产周转率配比,增值税税收负担率
行业均值,-15.406997867495589,17.019589229133743,39.55865562936121,1.0,-0.9775212392110619,1.0,4.872003222963494,-49.63517915170842,11.771027353147419,-1.877052827738058,1.0,1.0,1.0,0.2178327701952989,-16.035915668643046,-43.89419225975684,8.635468195971928,-84.04374316497076,0.5174093369739236,1.0,1.0,583.2637057689313,0.980964672220896,76.1278983023127,-44.69394735223479,3.1530034095978077,10.386404550023201,17.13031318275939,-2.039033073394865,-4.794313783649268,-1.1614046899340988,1.0,0.020884541802760285,-57.3552168633209,94.06192354292877,1.0,3.753002214262787
行业标准差,38.47023936894995,73.95228895570798,27.549008176652766,,19.859894139981943,,27.225064544151994,99.77885167365835,10.040840542555268,24.78397078166279,,,,7.444927361798414,67.3497392708194,90.02113623641105,9.72116698162427,113.67769662447273,0.4541364603901326,2.268158749093368,,328.63011153208794,19.45683120039501,146.71692695569428,50.67826821455347,27.842075297723802,50.24124566137122,74.30488665808683,32.73706999226836,30.892071639361017,16.05337554923235,,0.13296492981661268,116.30309195687586,56.576616853118466,,3.0280494983288104
行业离散系数,-2.4969328677659703,4.345127720774727,0.696409110430066,,-20.31658581250927,,5.588063738511199,-2.010244616397723,0.8530131008378362,-13.203661833816744,,,,34.17726063495237,-4.199930996302035,-2.050866677388307,1.1257255265161852,-1.3526015422865332,0.8777121476897898,2.268158749093368,,0.5634331577323957,19.834385224439227,1.9272425776561486,-1.1338955544730924,8.830334662173833,4.837212475154262,4.3376256969353095,-16.055193228309506,-6.443481389290091,-13.82237878696982,,6.366667321331362,-2.027768323743408,0.6014826693108988,,0.8068339226715908
预警值下限,-53.87723723644554,-27.351784144291045,23.029250723369554,0.7,-20.837415379193004,0.7,-11.463035503527701,-149.41403082536678,5.746523027614258,-26.66102360940085,0.7,0.7,0.7,-4.249123646883749,-83.38565493946244,-133.9153284961679,2.8027680069973657,-197.72143978944348,0.244927460739844,-0.3608952494560207,0.7,254.6335942368434,-10.693134048016109,-11.902257871103856,-95.37221556678826,-13.552241769036474,-19.75834284679953,-27.452618812092705,-34.77610306566322,-35.686385423010286,-17.214780239166448,0.7,-0.058894416087207316,-173.65830882019677,60.11595343105769,0.7,1.936172515265501
预警值上限,23.063241501454357,61.39096260255853,56.08806053535287,1.3,18.882372900770882,1.3,21.20704194945469,50.14367252194993,17.79553167868058,22.906917953924733,1.3,1.3,1.3,4.6847891872743475,51.313823602176356,46.12694397665421,14.468168384946491,29.633953459501967,0.7898912132080032,2.3608952494560205,1.3,911.8938173010192,12.655063392457901,164.15805447572927,5.9843208623186825,19.85824858823209,40.53115194684593,61.71324517761148,30.698036918873495,26.097757855711748,14.891970859298251,1.3,0.10066349969272788,58.94787509355496,128.00789365479983,1.3,5.569831913260073
